layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
4,mlp.gate_proj,5120,27648,122.7,2.725,32.15,15.879,32.755,32.404,31.906,12.433,31.583,31.93,25.768,8.333,29.737,25.774,30.503,16.506,31.787,30.877,27.868,16.676,28.571,28.333,31.758,13.922,34.415,31.87
4,mlp.up_proj,5120,27648,122.7,1.352,20.091,16.191,21.347,20.426,24.644,14.627,26.243,24.767,22.829,11.513,24.923,22.833,21.944,16.28,23.155,22.242,23.296,16.209,24.424,23.539,25.516,14.652,27.082,25.593
4,mlp.down_proj,27648,5120,378.3,1.476,27.627,15.573,28.069,27.71,32.561,14.971,32.462,32.603,37.374,12.883,33.791,37.186,26.682,14.529,27.044,26.755,25.676,16.011,25.662,25.649,31.661,14.52,30.267,31.692
5,self_attn.q_proj,5120,5120,65.97,1.738,22.229,15.436,23.527,22.365,22.589,12.944,24.18,22.624,19.69,10.354,21.808,19.697,22.155,16.078,23.381,22.317,21.514,16.309,22.689,21.685,22.949,13.626,24.478,22.993
5,self_attn.k_proj,5120,1024,65.97,1.674,23.716,15.676,25.035,23.857,23.742,12.922,25.415,23.779,19.103,10.173,21.652,19.104,23.335,16.159,24.567,23.501,22.549,16.259,23.661,22.732,24.202,13.59,25.537,24.247
5,self_attn.v_proj,5120,1024,65.97,1.132,16.755,16.618,17.865,16.937,19.095,15.485,20.342,19.162,18.073,13.067,19.625,18.09,18.063,16.631,19.194,18.18,18.653,16.493,19.887,18.73,19.382,15.093,20.704,19.425
5,self_attn.o_proj,5120,5120,15.79,1.788,18.345,16.375,19.557,18.421,18.288,15.453,19.643,18.331,16.587,13.708,18.169,16.613,18.464,16.531,19.637,18.544,18.443,16.607,19.593,18.53,18.472,15.659,19.792,18.519
5,mlp.gate_proj,5120,27648,77.34,2.084,30.962,16.182,31.783,31.238,31.985,12.787,33.299,32.021,27.501,7.917,29.534,27.509,29.422,16.638,30.618,29.754,27.524,16.726,28.478,27.916,31.366,14.27,34.032,31.446
5,mlp.up_proj,5120,27648,77.34,1.189,14.51,16.471,15.514,14.845,19.088,15.725,20.427,19.217,18.401,13.274,20.257,18.417,17.022,16.451,18.161,17.267,18.76,16.31,19.952,18.92,19.942,15.531,21.393,20.011
5,mlp.down_proj,27648,5120,235.08,1.298,27.374,16.031,26.039,27.445,30.754,15.339,29.615,30.723,33.188,13.059,28.735,33.378,26.627,15.261,25.358,26.656,25.0,16.033,24.875,25.086,30.226,15.054,30.1,30.345
6,self_attn.q_proj,5120,5120,57.69,1.698,22.096,15.661,23.44,22.275,22.087,13.192,23.71,22.127,18.968,10.227,21.077,18.975,21.897,16.196,23.079,22.113,21.201,16.379,22.337,21.443,22.569,13.991,24.091,22.624
6,self_attn.k_proj,5120,1024,57.69,1.703,23.778,15.946,25.013,23.967,23.696,13.44,25.261,23.74,19.482,10.372,22.004,19.494,23.353,16.356,24.473,23.597,22.485,16.511,23.615,22.761,24.182,14.154,25.625,24.238
6,self_attn.v_proj,5120,1024,57.69,1.107,16.612,16.628,17.625,16.842,18.681,15.825,19.972,18.753,18.007,14.034,19.47,18.025,18.033,16.634,19.16,18.151,18.754,16.533,19.89,18.82,19.031,15.56,20.393,19.069
6,self_attn.o_proj,5120,5120,9.82,1.406,18.721,16.249,19.916,18.794,18.534,15.311,19.95,18.571,16.84,13.576,18.496,16.86,18.771,16.363,19.994,18.847,18.779,16.419,19.938,18.861,18.779,15.517,20.086,18.82
