layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
11,self_attn.v_proj,5120,1024,59.84,1.151,16.174,16.255,17.264,16.379,17.934,14.904,19.257,17.996,16.819,12.795,18.395,16.834,17.404,16.23,18.512,17.537,17.97,16.102,19.144,18.059,18.23,14.689,19.65,18.271
11,self_attn.o_proj,5120,5120,10.61,1.729,18.688,16.065,19.887,18.759,18.712,15.074,20.14,18.75,17.311,13.486,18.961,17.332,18.916,16.306,20.111,18.987,18.946,16.414,20.108,19.021,19.045,15.388,20.388,19.086
11,mlp.gate_proj,5120,27648,97.4,2.838,24.939,16.309,25.033,25.585,24.816,13.374,26.656,24.884,21.973,11.236,23.405,21.991,22.256,16.626,22.723,23.254,19.287,16.655,19.885,20.723,25.938,15.182,26.682,26.173
11,mlp.up_proj,5120,27648,97.4,1.06,14.483,16.622,15.202,15.232,16.666,16.547,17.808,16.792,17.036,16.314,18.279,17.058,16.539,16.587,17.678,16.684,17.132,16.513,18.336,17.162,17.182,16.484,18.38,17.208
11,mlp.down_proj,27648,5120,9.29,1.276,17.239,16.34,18.442,17.453,17.394,16.119,18.651,17.578,16.911,15.455,18.317,17.055,17.313,16.419,18.502,17.532,17.329,16.46,18.514,17.55,17.453,16.182,18.683,17.641
12,self_attn.q_proj,5120,5120,38.83,1.601,20.701,15.723,21.993,20.844,20.524,13.528,22.206,20.561,17.877,10.603,19.816,17.884,20.574,16.155,21.81,20.734,20.162,16.373,21.352,20.336,20.973,14.211,22.546,21.019
12,self_attn.k_proj,5120,1024,38.83,1.679,22.427,15.758,23.694,22.569,22.212,13.531,23.814,22.247,19.104,10.519,21.051,19.112,22.109,16.164,23.357,22.284,21.469,16.337,22.647,21.673,22.709,14.253,24.094,22.76
12,self_attn.v_proj,5120,1024,38.83,1.071,16.167,16.598,17.257,16.348,18.209,16.296,19.413,18.279,18.128,15.156,19.535,18.148,17.701,16.573,18.793,17.803,18.446,16.329,19.628,18.497,18.629,15.91,19.877,18.662
12,self_attn.o_proj,5120,5120,10.3,1.528,17.463,16.214,18.642,17.513,17.302,15.275,18.601,17.334,16.04,14.025,17.482,16.062,17.56,16.41,18.719,17.614,17.547,16.52,18.668,17.604,17.436,15.458,18.732,17.469
12,mlp.gate_proj,5120,27648,9.54,1.355,19.484,16.647,20.662,19.51,19.366,16.443,20.611,19.38,18.553,15.617,20.097,18.563,19.473,16.677,20.635,19.504,19.419,16.681,20.585,19.457,19.468,16.558,20.675,19.484
12,mlp.up_proj,5120,27648,9.54,1.034,17.208,16.663,18.363,17.234,17.294,16.648,18.452,17.309,17.223,16.546,18.414,17.235,17.241,16.632,18.408,17.258,17.199,16.562,18.383,17.212,17.269,16.599,18.445,17.281
12,mlp.down_proj,27648,5120,11.47,1.388,17.357,16.519,18.52,17.578,17.433,16.336,18.637,17.628,17.133,15.879,18.447,17.297,17.387,16.561,18.541,17.611,17.385,16.581,18.543,17.612,17.475,16.392,18.678,17.672
13,self_attn.q_proj,5120,5120,37.55,1.613,19.993,15.838,21.283,20.138,20.009,13.657,21.629,20.05,17.387,10.726,19.295,17.395,19.9,16.182,21.104,20.06,19.508,16.316,20.681,19.676,20.369,14.228,21.926,20.416
13,self_attn.k_proj,5120,1024,37.55,1.747,21.924,15.381,23.131,22.056,21.592,13.085,23.139,21.623,18.581,10.361,20.465,18.591,21.505,15.865,22.734,21.676,20.894,16.143,22.064,21.101,22.063,13.851,23.48,22.112
13,self_attn.v_proj,5120,1024,37.55,1.077,15.497,16.569,16.575,15.671,17.53,16.105,18.739,17.601,17.395,14.83,18.816,17.417,17.138,16.554,18.28,17.232,17.864,16.303,19.048,17.91,17.995,15.737,19.317,18.026
13,self_attn.o_proj,5120,5120,7.21,1.619,17.559,16.158,18.798,17.61,17.481,15.249,18.84,17.514,16.051,13.781,17.631,16.073,17.724,16.36,18.917,17.779,17.689,16.465,18.858,17.75,17.723,15.495,19.002,17.759
13,mlp.gate_proj,5120,27648,10.29,1.386,19.843,16.592,21.041,19.874,19.628,16.264,20.929,19.643,18.437,15.069,20.168,18.445,19.829,16.648,21.006,19.868,19.768,16.668,20.928,19.818,19.807,16.461,21.041,19.825
13,mlp.up_proj,5120,27648,10.29,1.039,17.044,16.614,18.2,17.075,17.16,16.604,18.328,17.176,17.102,16.5,18.306,17.114,17.107,16.587,18.278,17.126,17.084,16.524,18.276,17.097,17.149,16.554,18.337,17.161
13,mlp.down_proj,27648,5120,6.25,1.267,17.317,16.375,18.5,17.548,17.433,16.171,18.671,17.631,17.132,15.682,18.479,17.295,17.38,16.453,18.551,17.616,17.408,16.497,18.575,17.647,17.533,16.271,18.748,17.736
14,self_attn.q_proj,5120,5120,32.52,1.593,19.812,15.787,21.115,19.935,19.662,13.963,21.281,19.695,17.391,11.377,19.272,17.399,19.842,16.122,21.073,19.971,19.658,16.295,20.857,19.791,20.05,14.49,21.593,20.088
14,self_attn.k_proj,5120,1024,32.52,1.726,21.387,15.363,22.597,21.501,20.767,13.355,22.384,20.795,18.093,10.765,20.003,18.1,21.204,15.918,22.325,21.346,20.746,16.229,21.834,20.914,21.354,14.179,22.845,21.394
14,self_attn.v_proj,5120,1024,32.52,1.091,16.519,16.599,17.564,16.673,17.924,16.144,19.156,17.978,17.413,14.795,18.808,17.43,17.531,16.559,18.618,17.616,18.007,16.335,19.197,18.058,18.107,15.769,19.385,18.138
14,self_attn.o_proj,5120,5120,15.5,1.954,17.5,16.383,18.682,17.565,17.325,15.49,18.763,17.361,15.519,13.523,17.238,15.54,17.677,16.533,18.842,17.742,17.708,16.595,18.852,17.776,17.648,15.76,18.959,17.685
14,mlp.gate_proj,5120,27648,9.33,1.402,19.886,16.534,21.073,19.916,19.621,16.17,20.947,19.634,18.383,14.938,20.149,18.391,19.884,16.602,21.056,19.922,19.811,16.631,20.988,19.86,19.821,16.39,21.081,19.838
14,mlp.up_proj,5120,27648,9.33,1.046,17.063,16.617,18.236,17.093,17.161,16.588,18.341,17.177,17.082,16.457,18.292,17.093,17.13,16.588,18.307,17.148,17.096,16.521,18.295,17.109,17.142,16.53,18.34,17.154
