layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
9,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,29.429,41.566,28.594
9,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,29.429,16.4,15.864
9,self_attn.v_proj,w4a8-pc,2048,1024,5120,25.439,15.238,14.578
9,self_attn.o_proj,w8a8,2048,5120,5120,31.779,39.722,32.625
9,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,35.485,41.33,35.959
9,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,35.485,16.154,17.643
9,self_attn.o_proj,w4a8-pc,2048,5120,5120,31.779,14.569,15.991
9,mlp.gate_proj,w8a8,2048,27648,5120,32.613,39.585,36.866
9,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,36.872,41.097,40.453
9,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,36.872,16.004,21.009
9,mlp.gate_proj,w4a8-pc,2048,27648,5120,32.613,14.607,19.209
9,mlp.up_proj,w8a8,2048,27648,5120,32.613,40.583,32.732
9,mlp.up_proj,w8a8-mg1024,2048,27648,5120,36.872,41.73,36.376
9,mlp.up_proj,w4a8-mg1024,2048,27648,5120,36.872,16.548,17.295
9,mlp.up_proj,w4a8-pc,2048,27648,5120,32.613,15.409,16.122
9,mlp.down_proj,w8a8,2048,5120,27648,18.302,38.459,20.062
9,mlp.down_proj,w8a8-mg1024,2048,5120,27648,27.961,41.244,29.443
9,mlp.down_proj,w4a8-mg1024,2048,5120,27648,27.961,16.077,17.507
9,mlp.down_proj,w4a8-pc,2048,5120,27648,18.302,13.41,13.619
10,self_attn.q_proj,w8a8,2048,5120,5120,26.737,39.584,29.875
10,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,30.647,41.119,33.619
10,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,30.647,15.949,19.181
10,self_attn.q_proj,w4a8-pc,2048,5120,5120,26.737,14.416,17.534
10,self_attn.k_proj,w8a8,2048,1024,5120,26.737,39.633,32.39
10,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,30.647,41.043,36.121
10,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,30.647,15.881,21.557
10,self_attn.k_proj,w4a8-pc,2048,1024,5120,26.737,14.485,20.013
10,self_attn.v_proj,w8a8,2048,1024,5120,26.737,39.987,26.823
10,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,30.647,41.255,30.57
10,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,30.647,16.081,16.242
10,self_attn.v_proj,w4a8-pc,2048,1024,5120,26.737,14.82,14.879
10,self_attn.o_proj,w8a8,2048,5120,5120,30.716,39.834,31.876
10,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,35.123,41.396,35.892
10,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,35.123,16.218,17.838
10,self_attn.o_proj,w4a8-pc,2048,5120,5120,30.716,14.669,16.278
10,mlp.gate_proj,w8a8,2048,27648,5120,34.066,39.914,36.185
10,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,37.894,41.308,39.342
10,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,37.894,16.14,19.305
10,mlp.gate_proj,w4a8-pc,2048,27648,5120,34.066,14.774,17.909
10,mlp.up_proj,w8a8,2048,27648,5120,34.066,40.508,33.881
10,mlp.up_proj,w8a8-mg1024,2048,27648,5120,37.894,41.669,37.05
10,mlp.up_proj,w4a8-mg1024,2048,27648,5120,37.894,16.487,17.205
10,mlp.up_proj,w4a8-pc,2048,27648,5120,34.066,15.332,15.997
10,mlp.down_proj,w8a8,2048,5120,27648,19.967,37.801,22.128
10,mlp.down_proj,w8a8-mg1024,2048,5120,27648,28.928,40.868,30.916
10,mlp.down_proj,w4a8-mg1024,2048,5120,27648,28.928,15.76,17.793
10,mlp.down_proj,w4a8-pc,2048,5120,27648,19.967,13.048,12.966
11,self_attn.q_proj,w8a8,2048,5120,5120,25.737,39.258,30.425
11,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,29.503,40.808,34.072
11,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,29.503,15.64,20.366
11,self_attn.q_proj,w4a8-pc,2048,5120,5120,25.737,14.099,18.664
11,self_attn.k_proj,w8a8,2048,1024,5120,25.737,39.692,32.793
11,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,29.503,41.033,36.428
11,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,29.503,15.859,22.947
11,self_attn.k_proj,w4a8-pc,2048,1024,5120,25.737,14.526,21.384
11,self_attn.v_proj,w8a8,2048,1024,5120,25.737,40.214,25.471
11,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,29.503,41.43,29.121
11,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,29.503,16.255,16.0
11,self_attn.v_proj,w4a8-pc,2048,1024,5120,25.737,15.047,14.808
11,self_attn.o_proj,w8a8,2048,5120,5120,30.861,39.616,32.903
11,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,34.314,41.244,36.09
11,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,34.314,16.065,18.609
11,self_attn.o_proj,w4a8-pc,2048,5120,5120,30.861,14.447,16.967
11,mlp.gate_proj,w8a8,2048,27648,5120,18.42,39.777,26.69
11,mlp.gate_proj,w8a8-mg1024,2048,27648,5120,25.36,41.488,33.516
11,mlp.gate_proj,w4a8-mg1024,2048,27648,5120,25.36,16.309,24.92
11,mlp.gate_proj,w4a8-pc,2048,27648,5120,18.42,14.601,22.173
11,mlp.up_proj,w8a8,2048,27648,5120,18.42,40.688,15.634
11,mlp.up_proj,w8a8-mg1024,2048,27648,5120,25.36,41.804,22.506
